cnpj_basico,identificador_matriz_filial,nome_fantasia,tipo_logradouro,logradouro,numero,bairro,cep,uf,municipio,cnae_fiscal_principal,cnae_fiscal_secundaria
39287950,2,,FAZENDA,ALVORADA,S/N,ZONA RURAL,19400000,SP,6931,0113000,
36740390,2,,AVENIDA,DAS NACOES UNIDAS,22540,VILA ALMEIDA,04795921,SP,7107,4511102,"4512902,4520001,4520005,4530703"
38007879,2,,ESTANCIA,ALVI VERDE,SN,ZONA RURAL,15260000,SP,6893,0139306,
40462135,2,,RUA,AGUAS DA PRATA,246,ROCHDALE,06223200,SP,6789,4110700,
40832444,2,VIX VAREJO,RUA,RAFAEL DIAS COSTA,140,DONA CATARINA,18132852,SP,7113,4781400,"4782201,4789001"
40295287,2,RESIDENCIAL ROMA,RUA,OSCAR DE ASSIS,56,JARDIM SANTA MADALENA,13172510,SP,7149,4110700,
40012755,2,,FAZENDA,TROFEU,S/N,RURAL,13537000,SP,6523,0113000,
38278706,2,,AREA,SIT BELA VISTA SETOR II,S/N,ZONA RURAL,13659899,SP,7027,0113000,
38278706,2,,FAZENDA,SAO JOSE,SN,ZONA RURAL,13669899,SP,6915,0113000,
37299452,2,,SITIO,SAO JOSE,S/N,RODOVIA SP 225 - KM 312,18919899,SP,7029,0115600,"0111302,0111303,0116499,0119905,0151201,0151202,0153902,0119999,0111399,0119906,0111301"
40876271,2,,AVENIDA,BRIG FARIA LIMA,3732,ITAIM BIBI,04538132,SP,7107,5611201,"4636202,4649499,4686902,4722902,4729699,4744002,4759899,4781400,4782202,4789001,5320202,5510801,5611204,5612100,5620102,5620104,7420001,7490104,7490105,7729202,8230001,9003500"
36704993,2,VIVA BENX CASA DO ATOR,RUA, CASA DO ATOR,1093,VILA OLIMPIA,04546003,SP,7107,4110700,
40301289,1,,SITIO,BOI DE ACO,SN,RIO DO PEIXE,12130000,SP,6627,0151201,0151202
41049580,2,,AREA,RURAL,S/N,AREA RURAL DE IBITINGA,14949899,SP,6493,0116401,
41049580,2,,AREA,RURAL,S/N,AREA RURAL DE PIRAJUI,16616899,SP,6879,0115600,
37450703,2,,SITIO,ALVORADA,0,BIRY,13537000,SP,6523,0113000,
40554548,2,,FAZENDA, SANTA IZABEL GLEBA C,S/N,JACUTINGA,16700000,SP,6465,0113000,
39988630,2,,SITIO,PRIMAVERA,S/N,ZONA RURAL,14200000,SP,7119,0113000,
37598151,2,,AREA,SITIO CHAPADAO,SN,AREA RURAL DE SERTAOZINHO,14178899,SP,7135,0113000,
37598151,2,,AREA,SITIO BOM JESUS,SN,AREA RURAL DE SERTAOZINHO,14178899,SP,7135,0113000,
37598151,2,,AREA,FAZENDA SANTO ANTONIO,SN,AREA RURAL DE SERTAOZINHO,14178899,SP,7135,0113000,
38090116,2,VILLA VIC INDAIATUBA CONDOMINIO FLORENCA,AVENIDA,SENADOR ROMEU TUMA,400,MATO DENTRO,13332656,SP,6511,4110700,
40440300,2,,SITIO,BABILONIA,SN,ZONA RURAL,14910000,SP,7155,0133404,"0119999,0133410,0113000"
41049580,2,,AREA,RURAL,S/N,AREA RURAL DE IBITINGA,14949899,SP,6493,0113000,
36993336,2,,ESTRADA,VICINAL,S/N,ZONA RURAL,14620000,SP,6787,0113000,0115600
39441036,2,,ESTRADA MUNICIPAL,LOURDES A BURITAMA,SN,CORREGO DA PEDRA,15285000,SP,2937,0115600,"0111302,0111399"
40441121,2,,ESTRADA,DO BAIRRO DO CORDEIRO - FAZENDA CACHOEIRA,S/N,CORDEIRO,12524899,SP,6469,0151201,"0151202,0153901,0152102,0155503,0155505,0121101,0133499,0159899,0155501"
41049580,2,,AREA,RURAL,S/N,AREA RURAL DE IBITINGA,14949899,SP,6493,0115600,0113000
40616430,2,,FAZENDA,SAO MIGUEL ARCANJO,SN,ZONA RURAL,15620000,SP,6665,0139306,
37635335,2,,ESTRADA,M STO ANTONIO A. GUZOLANDIA KM 30,S/N,ZONA RURAL,16130000,SP,2939,0139306,
